Pushes: 32
States created total: 566,727
Unique visited total: 129,796
Reached duplicates total: 372,684
Created but not reached total: 64,247

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             2              2              0              0
2:             3              3              0              0
3:             10             9              1              0
4:             44             43             1              0
5:             193            130            63             0
6:             584            329            255            0
7:             1,527          741            786            0
8:             3,510          1,506          2,004          0
9:             7,076          2,709          4,367          0
10:            12,571         4,328          8,243          0
11:            19,511         6,187          13,324         0
12:            27,217         8,143          19,042         32
13:            35,253         9,923          24,989         341
14:            43,017         11,427         30,641         949
15:            49,391         12,095         35,058         2,238
16:            52,309         11,935         36,246         4,128
17:            51,361         11,408         34,915         5,038
18:            50,267         10,908         33,895         5,464
19:            48,421         9,670          32,121         6,630
20:            43,597         8,036          27,747         7,814
21:            36,006         6,413          22,224         7,369
22:            28,748         4,980          17,310         6,458
23:            21,681         3,544          12,441         5,696
24:            14,969         2,399          8,095          4,475
25:            9,465          1,478          4,731          3,256
26:            5,547          849            2,502          2,196
27:            2,817          383            1,112          1,322
28:            1,136          149            422            565
29:            364            50             121            193
30:            111            15             26             70
31:            17             2              2              13
32:            1              1              0              0
